kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
3.5282,0.45421,3.9542,0.060418,-0.3037,0.031534,0.33784,10408.8802,254.0347,HVS,0.43034,11.8335,6010.7805,24.6234,14.6177,0.0051993,4.2906,525.1681,5.4619,17.7429,0.0020681,2.773,161.9261,3.2817,18.536,0.0021464,2.701,209.7107,3.432,34.9698,0.0020441,0.71641,15.973,1.0278,17.1292
2.9454,-0.70451,4.7307,0.039177,-0.72004,0.020744,0.14858,26548.5847,647.9522,HVS,0.26905,13.5301,15682.5222,29.2638,22.1612,-0.016178,6.171,1153.5289,7.8788,24.3878,-0.0032747,3.1436,240.1247,3.7083,20.7043,-0.0061568,1.9879,112.7963,2.596,24.7286,-0.003411,0.48526,8.6172,0.73543,12.2271
2.9454,-0.70451,4.7307,0.039177,-0.72004,0.020744,0.14858,26548.5847,647.9522,HVS,0.26905,13.5301,15682.5222,29.2638,22.1612,-0.016178,6.171,1153.5289,7.8788,24.3878,-0.0032747,3.1436,240.1247,3.7083,20.7043,-0.0061568,1.9879,112.7963,2.596,24.7286,-0.003411,0.48526,8.6172,0.73543,12.2271
2.9559,-2.0465,2.6021,0.043992,-3.984,0.027554,0.40183,29062.2695,706.9914,HVS,-0.35481,15.8522,21160.1296,31.1854,24.5364,0.005055,6.4266,1070.2039,8.0548,25.1478,0.0013449,3.3963,222.3509,4.0249,22.7705,0.0020693,2.1522,148.5704,2.7565,26.5805,0.0012788,0.48247,9.1222,0.74189,12.4241
3.2523,-0.87664,1.923,0.043276,-1.529,0.020914,0.023104,26168.0152,638.4869,HVS,0.054948,14.2097,22543.3928,30.1095,20.474,-0.015379,5.7715,1114.5616,7.2956,23.262,-0.0029839,2.9946,232.2442,3.5171,19.371,-0.0044039,1.9161,123.6277,2.4343,23.5728,-0.0028843,0.45936,8.8903,0.72758,12.0583
4.0271,-1.2272,0.86521,0.02514,-2.2443,0.0096545,0.33736,24044.7547,586.1733,TA,-0.15063,7.8193,5410.6002,19.5451,12.4149,-0.0054634,3.8304,537.427,4.6952,15.4185,-0.0028045,2.2155,174.4183,2.6926,14.9996,-0.0013821,1.6312,106.5001,2.202,21.8356,-0.0013148,0.56184,13.1252,0.86748,14.3778
3.5646,-0.82589,1.3372,0.02452,-2.0887,0.010219,0.55668,20337.1178,496.1621,TA,-0.014191,7.3242,5841.0682,19.46,11.7896,0.0013086,3.0411,357.638,3.9551,12.9917,0.00048194,1.9267,96.4677,2.2888,12.9787,-0.00047564,1.5218,93.071,2.0116,20.2514,-9.2608e-05,0.54526,12.156,0.82786,13.7651
3.0487,-0.81177,1.6959,0.041099,-2.7144,0.019231,0.38438,14079.2917,343.3723,TA,-0.049362,8.2462,10945.6916,17.0282,11.7389,0.010512,3.6481,477.8747,4.6133,15.2283,0.0019119,2.5688,196.0627,3.0337,17.6438,0.0016037,2.3903,252.0437,3.0921,30.8768,0.0010573,0.74316,22.0057,1.1002,18.3427
4.6249,-0.93663,1.7395,0.044242,-2.0665,0.016135,0.10083,11397.7672,277.7561,TA,-0.012321,8.4986,3967.2111,15.7601,10.8681,0.0045358,3.7025,419.1414,4.6435,15.545,-0.0011592,2.3645,130.9003,2.8259,16.431,-0.0015749,2.2547,167.6516,2.9429,29.2739,-0.00058034,0.69831,19.4137,1.0492,17.598
4.13,0.021244,3.2229,0.058396,0.58155,0.035641,-0.12704,16193.2832,395.4094,HVS,0.094706,13.319,11623.8255,23.726,18.8413,-0.018018,5.2364,730.6822,6.4396,20.2779,-0.0023219,2.3709,122.6658,2.8125,15.957,-0.0030967,2.4443,196.3545,3.1403,33.2202,-0.0024199,0.94243,32.8985,1.3862,23.5648
