amplitudeVariation,kurtosis,max,mean,meanAmplitude,meanDerivate_1,meanDerivate_2,meanFrequency,median,medianFrequency,min,rms,skewness,std,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,rmsdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,rmsalpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,rmstheta,meanAtheta,meanFitheta
101.4106,3.5765,54.4887,-0.79428,2.7158,-0.08886,-0.010606,0.057942,-1.4996,0.025475,-49.3328,15.1283,0.027846,15.1087,228.8645,228.2717,HVS,0.1538,2.7158,228.8645,15.1283,16.8757,12.271,0.0033844,2.7158,228.8645,15.1283,5.6226,19.496,0.00063119,2.7158,228.8645,15.1283,3.4293,19.599
102.0404,3.5282,64.1832,0.45421,3.9542,-0.99485,0.058119,0.060418,-0.3037,0.031534,-49.6127,15.9436,0.33784,15.9385,254.1986,254.0347,HVS,0.43034,3.9542,254.1986,15.9436,24.6234,14.6177,0.0051993,3.9542,254.1986,15.9436,5.4619,17.7429,0.0020681,3.9542,254.1986,15.9436,3.2817,18.536
154.9077,2.9454,92.4422,-0.70451,4.7307,-0.39973,-0.056247,0.039177,-0.72004,0.020744,-76.9573,25.4625,0.14858,25.4549,648.3406,647.9522,HVS,0.26905,4.7307,648.3406,25.4625,29.2638,22.1612,-0.016178,4.7307,648.3406,25.4625,7.8788,24.3878,-0.0032747,4.7307,648.3406,25.4625,3.7083,20.7043
154.9077,2.9454,92.4422,-0.70451,4.7307,-0.39973,-0.056247,0.039177,-0.72004,0.020744,-76.9573,25.4625,0.14858,25.4549,648.3406,647.9522,HVS,0.26905,4.7307,648.3406,25.4625,29.2638,22.1612,-0.016178,4.7307,648.3406,25.4625,7.8788,24.3878,-0.0032747,4.7307,648.3406,25.4625,3.7083,20.7043
143.9714,2.9559,83.3119,-2.0465,2.6021,1.6464,0.21411,0.043992,-3.984,0.027554,-62.1081,26.6657,0.40183,26.5893,711.0618,706.9914,HVS,-0.35481,2.6021,711.0618,26.6657,31.1854,24.5364,0.005055,2.6021,711.0618,26.6657,8.0548,25.1478,0.0013449,2.6021,711.0618,26.6657,4.0249,22.7705
152.1297,3.2523,77.4612,-0.87664,1.923,-3.5823,-0.1541,0.043276,-1.529,0.020914,-75.7722,25.2814,0.023104,25.2683,639.149,638.4869,HVS,0.054948,1.923,639.149,25.2814,30.1095,20.474,-0.015379,1.923,639.149,25.2814,7.2956,23.262,-0.0029839,1.923,639.149,25.2814,3.5171,19.371
151.4091,4.0271,78.9514,-1.2272,0.86521,-0.60946,-0.041089,0.02514,-2.2443,0.0096545,-75.0937,24.2401,0.33736,24.211,587.5817,586.1733,TA,-0.15063,0.86521,587.5817,24.2401,19.5451,12.4149,-0.0054634,0.86521,587.5817,24.2401,4.6952,15.4185,-0.0028045,0.86521,587.5817,24.2401,2.6926,14.9996
138.8197,3.5646,94.1704,-0.82589,1.3372,0.22913,-0.026898,0.02452,-2.0887,0.010219,-59.773,22.2881,0.55668,22.2747,496.7615,496.1621,TA,-0.014191,1.3372,496.7615,22.2881,19.46,11.7896,0.0013086,1.3372,496.7615,22.2881,3.9551,12.9917,0.00048194,1.3372,496.7615,22.2881,2.2888,12.9787
105.212,3.0487,59.8704,-0.81177,1.6959,0.83795,-0.037277,0.041099,-2.7144,0.019231,-62.968,18.5465,0.38438,18.5303,343.974,343.3723,TA,-0.049362,1.6959,343.974,18.5465,17.0282,11.7389,0.010512,1.6959,343.974,18.5465,4.6133,15.2283,0.0019119,1.6959,343.974,18.5465,3.0337,17.6438
131.7945,4.6249,61.9221,-0.93663,1.7395,0.31277,0.061633,0.044242,-2.0665,0.016135,-75.4685,16.6909,0.10083,16.666,278.5871,277.7561,TA,-0.012321,1.7395,278.5871,16.6909,15.7601,10.8681,0.0045358,1.7395,278.5871,16.6909,4.6435,15.545,-0.0011592,1.7395,278.5871,16.6909,2.8259,16.431
