,kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
65,3.737,-8.532,-5.4577,0.025516,-5.0587,0.0088618,-0.59999,28983.1318,661.5692,HVS,-0.49348,11.702,10223.791,25.3997,16.4877,-0.021998,3.8773,433.9161,4.7782,15.7149,-0.0085016,2.4575,149.6626,2.9163,16.8458,-0.0095045,2.5155,204.1383,3.1887,31.7958,-0.0067561,1.1651,59.9792,1.6458,26.9006
66,4.4211,-14.4523,-11.9772,0.0142,-6.6825,0.0022683,-1.159,54459.0418,1197.3879,HVS,-0.17448,8.8216,8615.5464,19.2534,13.6529,-0.0033818,3.2943,313.0234,4.0991,13.9768,-0.0014618,2.4967,141.0336,2.9276,16.8185,-0.0056031,2.8037,254.8912,3.5436,35.6294,-0.0043451,1.1825,57.0434,1.6767,27.5064
67,6.0123,0.085299,2.1852,0.024602,-2.529,0.010253,-0.081315,33020.4399,806.2929,HVS,0.35239,10.6603,8715.7595,27.7836,14.8064,-0.011286,3.3241,326.6775,4.2307,13.5579,-0.0058476,2.1591,113.3773,2.5449,14.844,-0.0015273,2.4946,186.8059,3.0749,30.8906,-0.0023809,1.1737,55.1166,1.6666,27.2677
68,5.7619,-0.18324,3.1745,0.045527,0.22802,0.031872,-0.73169,20379.7286,497.6136,HVS,0.056515,13.3514,14980.8406,24.7444,20.5792,0.011111,5.0736,688.7474,6.2,19.8351,0.00065405,2.6187,173.9301,3.1059,17.3962,0.0017032,1.6796,89.8173,2.1882,22.3544,0.0010621,0.69303,19.6983,1.0451,17.2265
70,4.5294,-0.60015,1.4662,0.052242,-1.2456,0.031985,0.31124,15435.8018,376.6851,HVS,0.43044,12.2215,9166.5069,23.434,18.6411,-0.00022196,5.0779,978.9355,6.2795,20.327,-0.000953,2.3763,160.4041,2.8308,15.9588,-0.0022245,1.8118,116.769,2.342,23.9704,-0.0013795,0.66721,19.7026,1.0261,16.8578
71,4.2504,-0.76713,1.6902,0.051539,-0.63108,0.034692,-0.24843,19932.5435,486.3425,TA,-0.066047,13.6337,13329.4746,22.795,20.5823,-1.1271e-05,5.3803,1114.5497,6.6408,21.4349,-0.0046518,2.5325,145.4202,2.9627,16.3649,-0.0004785,1.7657,109.0723,2.2779,22.9411,-0.0011184,0.6081,20.9023,0.93701,15.3591
72,3.2226,-0.063058,1.7454,0.045462,-0.0071362,0.023847,0.049161,15315.6161,373.9762,TA,0.16029,12.4014,9455.2975,23.8994,17.5503,0.016822,4.832,760.5163,6.175,19.7764,0.0055085,2.502,162.8132,2.9701,16.6144,0.0054403,1.6683,90.3816,2.1686,21.6588,0.0035159,0.58207,19.0544,0.92788,15.0425
73,3.9027,-1.1597,1.0518,0.04282,-2.256,0.018735,0.21697,28952.4461,706.1121,HVS,-0.03805,13.8048,14304.1712,25.3838,21.0142,0.0101,6.4915,1532.9122,8.0411,25.5617,-0.00065962,2.9942,260.0754,3.5335,19.9827,0.0011534,2.1672,148.4985,2.7236,28.323,0.00078542,0.64721,18.0857,0.97812,16.0203
74,2.707,-0.54308,2.3106,0.055341,-1.0039,0.018504,0.068108,12776.0178,311.7795,HVS,-0.28285,8.7735,5897.6788,18.6718,15.8154,-0.0027468,5.3428,930.4091,6.746,22.4284,-0.0011923,3.0819,209.5762,3.6695,20.5689,-0.0018163,2.5019,188.0247,3.1893,32.8847,-0.0013466,0.75866,24.1519,1.1505,18.9578
75,4.7007,-0.42701,2.9922,0.045443,0.12582,0.022391,0.17619,31920.7316,779.3291,TA,0.1369,17.7808,21029.7378,32.5588,23.8817,0.010131,6.7013,1577.8619,8.4912,27.14,0.0028926,3.4875,316.7913,4.1213,22.9044,0.0047113,2.4195,202.584,3.0583,30.4531,0.0024152,0.6857,21.0479,1.033,16.9512
76,3.9027,-1.1597,1.0518,0.04282,-2.256,0.018735,0.21697,28952.4461,706.1121,TA,-0.03805,13.8048,14304.1712,25.3838,21.0142,0.0101,6.4915,1532.9122,8.0411,25.5617,-0.00065962,2.9942,260.0754,3.5335,19.9827,0.0011534,2.1672,148.4985,2.7236,28.323,0.00078542,0.64721,18.0857,0.97812,16.0203
